,x1,x2,x3,x4,x5,x6,x7,x8,x9,y,x10,x11,x12,x13,x14,x15
50,-17.700149418000002,-1.827880068,70.670485494,17.484120726,-1.441605984,-5.508980604,-96,59,-880,2,316.6364349625175,4997.658665500657,5307.612809377191,307.7727053744474,32.42709510835281,336.04334485659103
51,-13.502752482,-2.5040169060000004,69.644966124,17.170958520000003,-1.727769858,-4.295825514000001,-89,50,-885,2,188.59442525569096,4856.6914070786415,5032.745631003265,297.827005177774,21.43930552894671,313.29593334229406
52,-9.442339542000001,-3.105888294,68.875737192,16.40049219,-1.925882622,-3.060877248,-78,42,-888,2,98.80431812122302,4753.513715836259,4833.02494976787,272.6851679479727,13.07799340104565,278.3451136015751
53,-5.618236812,-3.630273342,68.362927434,15.313010214000002,-1.892938836,-1.858254522,-66,34,-897,2,44.743469413347775,4686.668731883986,4705.054432222062,238.07149925090542,7.036327305370483,237.94139168260185
54,0.37657535400000003,14.947180152,183.59434604400002,0.053734956,0.038881638,0.077302938,244,0,-969,1,223.56000349358294,33930.30209382037,33707.02570832127,0.00439922726988498,0.007487525996994888,0.00886318971975378
55,-2.10214779,-4.05484557,68.096895216,13.991494776,-1.536136866,-0.6739516200000001,-61,27,-914,2,20.86079792755051,4653.628910655431,4641.606163389884,198.1216425379196,2.8139272571849268,196.2161368529359
56,5.3647904099999995,-4.278748782,67.849416732,49.128531216,-0.255952224,-1.46246586,-39,7,-959,2,47.088667282694445,4621.851042012067,4632.324327015829,2413.678090982457,2.2043179326360858,2415.751385833152
57,19.100276826,-4.041079578,67.88387775599999,58.1591928,2.4980952600000004,1.9969247280000002,-13,-52,-1020,2,381.15089898556135,4624.551183347279,4973.041434021383,3388.7321870756064,10.228188297332345,3386.4794155168697
58,31.318738458000006,-3.5903245200000002,69.50127124800001,44.508308172,6.572695074,7.802162466,29,-74,-1124,2,993.7538087595218,4843.317135246986,5811.290083688681,2024.1898168695059,104.07405968164306,2041.8632354795811
59,0.016617588000000003,14.895614682000001,-101.129601,0.003813756,0.053611086,0.05928960600000001,243,0,-969,0,221.87961289884493,10449.075535173813,10227.19647456343,0.0028886932769269322,0.006389405921734633,0.003529802114462773
60,39.804661272000004,-3.083406462,72.656314374,29.726064204,11.487955752,10.688070954,81,-71,-1290,2,1593.9184543885603,5288.447413823423,6863.351077392176,1015.61202042024,246.20798807764837,997.8737537780686
61,45.338473320000006,-2.329536528,76.93448067,20.062714218,16.311131718,11.881214976,120,-72,-1486,2,2061.003903423639,5924.34105639789,7974.491478950957,668.565519715085,407.2162872278723,543.675771099066
62,49.303421976,-1.3416400560000001,82.15337276400001,15.635581614000001,20.289525389999998,12.693646254,143,-76,-1665,2,2432.6274165833834,6750.976654540603,9180.004075044259,656.1362529595094,572.7934957731428,405.60006762974314
63,52.69225359000001,-0.245483622,88.125278952,13.852885368,23.236931562000002,13.222576973999999,147,-80,-1802,2,2776.533850601539,7766.125052576484,10542.538378760684,731.8574214360203,714.7915302504268,366.7389748523035
64,55.810654164000006,0.8252219460000001,94.682250024,12.237377466000002,25.65563679,13.656636180000001,147,-83,-1907,2,3115.5101094737715,8965.409460867408,12079.557587820858,807.9651063457661,844.7154108532865,336.25711899824967
65,0.375081252,14.945817588,183.599023818,0.062712798,0.03580881600000001,0.060946272,244,0,-969,1,223.51814931937204,33931.9790102963,33708.742232868135,0.00521516633631066,0.004996719374019841,0.007647343103686788
66,58.619159460000006,1.820233092,101.78626299,10.205392242,28.081882596,14.054467680000002,148,-86,-2011,2,3439.51910430612,10363.756581978656,13796.649189266353,892.7421609486015,986.1201919036923,301.67809258123845
67,61.02050542799999,2.761635036,109.447903632,7.78046787,30.528402330000006,14.280093312000002,150,-88,-2122,2,3731.1287107606395,11986.470237511623,15702.345692128136,992.519029098452,1135.9044138217769,264.4567452755295
68,62.946052554,3.6652755,117.630400656,5.097587856,32.734676598,14.493703542,150,-89,-2229,2,3975.6397766218297,13850.345402981986,17799.116690622017,1097.5444539252874,1281.6264943390322,236.05284431302204
69,64.390940664,4.5489648,126.28595352,2.419476138,34.638093708,14.583268764,148,-90,-2327,2,4166.886320346408,15968.835137207241,20094.335296050373,1205.6514005065405,1412.4692635672473,218.52559262540947
70,65.339076522,5.4294012480000005,135.31837463399998,-0.397731588,35.861760378,14.656223952000001,146,-91,-2402,2,4298.673318659556,18340.540911499356,22580.25743433534,1286.2240478251838,1500.8707579402694,214.96309094727152
71,0.019758234,14.905912578,-101.11519575,-0.0049431480000000005,0.057385356000000005,0.060597066000000005,244,0,-970,0,222.1866201707894,10446.469041343797,10224.283201948629,0.0033175137953966407,0.006965083491055093,0.0036964391199582605
72,65.771641734,6.232596336,144.462661746,-3.071649222,35.436859128,14.704629780000001,138,-89,-2403,2,4364.754113473171,20908.305895826736,25195.369495124865,1265.20601380073,1471.9971218245798,225.6611659098761
73,65.62696695599999,6.904102566000001,153.427906038,-6.002045274,34.089707136,14.714714886000001,129,-87,-2346,2,4354.565424085762,23587.788983447208,27847.02114304927,1198.132680089395,1378.6309667945193,252.54738164741576
74,64.827811716,7.467756720000001,162.05523490800002,-8.884109256,32.174949648,14.659997820000001,120,-83,-2262,2,4258.412562314252,26317.666551516173,30464.544332972215,1114.1547821238803,1250.1429209337402,293.84293335494965
75,63.383188247999996,7.942557336000001,170.19076823999998,-11.4926514,29.511750342,14.545800090000002,104,-80,-2144,2,4080.512769517052,29027.981811157035,32982.32614660279,1003.024444450459,1082.523708506781,343.661336460166
76,0.37298217600000005,14.944478274,183.603844644,0.073322358,0.031029276,0.067233174,244,0,-969,1,223.4765465856717,33933.70919894014,33710.51088376169,0.006338984151764341,0.005483115655198453,0.009896467868794442
77,61.342220304,8.311251996000001,177.687277794,-13.666310904,26.308350564,14.411545692,82,-74,-1998,2,3831.944901565484,31641.845599583146,35335.6366816666,878.8973631231084,899.821958630923,394.4607029573931
78,58.789175748,8.557116689999999,184.45983409800002,-15.249760152000002,22.686701418000002,14.222814738,42,-68,-1832,2,3529.391431175508,34098.654641507965,37481.597580590926,747.2416059230104,716.9748803009533,434.8436437649972
79,55.859398842000004,8.624544738,-186.544175148,-16.082149746,18.772412538,13.99790883,1,-61,-1648,2,3194.6552109273953,34873.112053585464,37919.00172063733,611.0390129496275,548.3449241098516,454.5769920657598
80,52.695901391999996,8.46810132,-181.335697176,-16.275131106,14.933341740000001,13.698280158000001,-28,-55,-1467,2,2848.566763481173,32954.343810271756,35659.49309382136,487.884588041115,410.6475748106828,452.5227718045453
81,49.451326134,8.082111774,-176.82917118,-15.774205326,11.501269338,13.337137698000001,-45,-49,-1309,3,2510.7541871386607,31333.876310933174,33713.989436616976,381.1047500520258,310.15843836063175,426.70479564221955
82,46.344523428,7.4784757200000005,-172.924375536,-14.28003162,8.564282658,12.88763523,-59,-44,-1177,3,2203.7424508630706,29958.76725361019,32050.654506284,277.2662405143194,239.43807926765672,370.010444889737
83,-0.294958614,36.81555033,-97.090165614,-0.0039115140000000005,0.007981698,0.000563322,243,0,-970,0,1355.471746684736,10781.88500505471,9426.58725953792,7.900744473540001e-05,6.402483463888801e-05,1.5617273447880004e-05
84,0.023009622,14.916248916,-101.10114813000001,0.004489956000000001,0.06189378000000001,0.059801904,244,0,-969,0,222.49501116677578,10443.936634928275,10221.44268264691,0.003850999707570337,0.007407107724713617,0.003596427426907152
85,43.586393592,6.677410302,-169.50768471,-12.091094256,6.25066638,12.456484434,-73,-40,-1075,3,1944.3615146979946,28777.44298408603,30632.62888210151,185.2653905015385,194.2348346485466,301.3585647619605
